instancia,rota,posicao,no
cenario3_mes,5,34,493
cenario3_mes,5,35,461
cenario3_mes,5,36,460
cenario3_mes,5,37,459
cenario3_mes,5,38,457
cenario3_mes,5,39,455
cenario3_mes,5,40,453
cenario3_mes,5,41,428
cenario3_mes,5,42,368
cenario3_mes,5,43,364
cenario3_mes,5,44,344
cenario3_mes,5,45,340
cenario3_mes,5,46,339
cenario3_mes,5,47,269
cenario3_mes,5,48,262
cenario3_mes,5,49,245
cenario3_mes,5,50,240
cenario3_mes,5,51,238
cenario3_mes,5,52,237
cenario3_mes,5,53,231
cenario3_mes,5,54,227
cenario3_mes,5,55,226
cenario3_mes,5,56,198
cenario3_mes,5,57,191
cenario3_mes,5,58,189
cenario3_mes,5,59,168
cenario3_mes,5,60,165
cenario3_mes,5,61,154
cenario3_mes,5,62,153
cenario3_mes,5,63,147
cenario3_mes,5,64,145
cenario3_mes,5,65,139
cenario3_mes,5,66,137
cenario3_mes,5,67,133
cenario3_mes,5,68,130
cenario3_mes,5,69,127
cenario3_mes,5,70,126
cenario3_mes,5,71,118
cenario3_mes,5,72,71
cenario3_mes,5,73,70
cenario3_mes,5,74,66
cenario3_mes,5,75,64
cenario3_mes,5,76,48
cenario3_mes,5,77,29
cenario3_mes,5,78,28
cenario3_mes,5,79,19
cenario3_mes,6,0,365
cenario3_mes,6,1,622
cenario3_mes,6,2,614
cenario3_mes,6,3,607
cenario3_mes,6,4,592
cenario3_mes,6,5,570
cenario3_mes,6,6,523
cenario3_mes,6,7,521
cenario3_mes,6,8,495
cenario3_mes,6,9,414
cenario3_mes,6,10,393
cenario3_mes,6,11,392
cenario3_mes,6,12,391
cenario3_mes,6,13,255
cenario3_mes,6,14,253
cenario3_mes,6,15,247
cenario3_mes,6,16,239
cenario3_mes,6,17,234
cenario3_mes,6,18,223
cenario3_mes,6,19,222
cenario3_mes,6,20,213
cenario3_mes,6,21,190
cenario3_mes,6,22,182
cenario3_mes,6,23,173
cenario3_mes,6,24,101
cenario3_mes,6,25,84
cenario3_mes,6,26,79
cenario3_mes,6,27,77
cenario3_mes,6,28,49
cenario3_mes,6,29,41
cenario3_mes,6,30,25
cenario3_mes,6,31,235
cenario3_mes,6,32,132
cenario3_mes,6,33,456
cenario3_mes,6,34,569
cenario3_mes,6,35,520
cenario3_mes,6,36,515
cenario3_mes,6,37,465
cenario3_mes,6,38,464
cenario3_mes,6,39,463
cenario3_mes,6,40,462
cenario3_mes,6,41,458
cenario3_mes,6,42,454
cenario3_mes,6,43,452
cenario3_mes,6,44,451
cenario3_mes,6,45,450
cenario3_mes,6,46,449
cenario3_mes,6,47,448
cenario3_mes,6,48,447
cenario3_mes,6,49,446
cenario3_mes,6,50,445
cenario3_mes,6,51,444
cenario3_mes,6,52,443
cenario3_mes,6,53,442
cenario3_mes,6,54,441
cenario3_mes,6,55,440
cenario3_mes,6,56,359
cenario3_mes,6,57,346
cenario3_mes,6,58,336
cenario3_mes,6,59,266
cenario3_mes,6,60,261
cenario3_mes,6,61,205
cenario3_mes,6,62,202
cenario3_mes,6,63,176
cenario3_mes,6,64,170
cenario3_mes,6,65,163
cenario3_mes,6,66,161
cenario3_mes,6,67,148
cenario3_mes,6,68,143
cenario3_mes,6,69,129
cenario3_mes,6,70,121
cenario3_mes,6,71,111
cenario3_mes,6,72,103
cenario3_mes,6,73,68
cenario3_mes,6,74,56
cenario3_mes,6,75,51
cenario3_mes,6,76,47
cenario3_mes,6,77,37
cenario3_mes,6,78,33
cenario3_mes,6,79,31
cenario3_mes,6,80,30
cenario3_mes,6,81,24
cenario3_mes,6,82,204
cenario3_mes,6,83,188
cenario3_mes,6,84,538
cenario3_mes,6,85,429
cenario3_mes,6,86,400
cenario3_mes,6,87,380
cenario3_mes,6,88,347
cenario3_mes,6,89,35
cenario3_mes,6,90,10
cenario3_mes,6,91,8
cenario3_mes,6,92,13
cenario3_mes,6,93,9
cenario3_mes,6,94,7
cenario3_mes,6,95,299
cenario3_mes,6,96,14
cenario3_mes,6,97,12
cenario3_mes,6,98,11
cenario3_mes,6,99,1
