Concessionária ,Bairro,cep
Con2339,Serra,30220-070
Con2340,TUPI B,31840-220
Con2341,Itapoa,31710-560
Con2342,Vila Cloris,31744-079
Con2343,Planalto,31720-070
Con2344,Minascaixa,31610-390
Con2345,Renascenca,31130-370
Con2346,Alto Caicaras,30750-250
Con2347,Buritis,30575-859
Con2348,Venda Nova,31615-250
Con2349,Betania,30580-420
Con2350,Santa Cruz,31150-570
Con2351,Savassi,30140-105
Con2352,Gloria,30870-100
Con2353,Itapoa,31710-520
Con2354,Belvedere,30320-640
Con2355,Cinquentenario,30570-020
Con2356,Itapoa,31710-180
Con2357,VILA PARAISO,30270-400
Con2358,Floresta,30150-101
Con2359,Savassi,30112-002
Con2360,Sion,30310-610
Con2361,Santa Tereza,31010-475
Con2362,Grajau,30431-202
Con2363,Castelo,31330-020
Con2364,Sao Marcos,31910-390
Con2365,Prado,30411-235
Con2366,Centro,30180-902
Con2367,Jaqueline,31748-489
Con2368,Centro,30180-110
Con2369,Nova Floresta,31140-260
Con2370,Sao Jose,31275-050
Con2371,Carlos Prates,30710-456
Con2372,Santa Amelia,31560-260
Con2373,Serra,30220-000
Con2374,Tupi B,31844-080
Con2375,Itaipu Barreiro,30692-610
Con2376,Funcionarios,30140-100
Con2377,Esplanada,30280-250
Con2378,Caicaras,30775-520
Con2379,Serra,30240-040
Con2380,Savassi,30130-138
Con2381,Serrano,30882-390
Con2382,Santa Tereza,31010-514
Con2383,Buritis,30575-365
Con2384,Alto Caicaras,30775-480
Con2385,Padre Eustaquio,30720-260
Con2386,Ouro Preto,31310-240
Con2387,Pindorama,30880-410
Con2388,Castelo,30840-350
Con2389,Castelo,31330-290
Con2390,Jardinopolis,30532-190
Con2391,Centro,30180-106
Con2392,Centro,30170-120
Con2393,Gloria,30870-190
Con2394,Santo Antonio,30350-070
Con2395,Sao Pedro,30330-360
Con2396,Prado,30411-230
Con2397,Ipiranga,31160-015
Con2398,Santo Antonio,30330-110
Con2399,Cidade Nova,31170-260
Con2400,Sagrada Familia,31030-204
Con2401,Ouro Preto,31310-390
Con2402,Buritis,30575-800
Con2403,Jardim dos Comerciarios Venda Nova,31640-065
Con2404,Jardim Sao Jose,30820-170
Con2405,Santo Antonio,30350-210
Con2406,Fernao Dias,31910-444
Con2407,Barro Preto,30190-081
Con2408,Santa Monica,31525-140
Con2409,Floresta,30150-380
Con2410,Jardim America,30421-340
Con2411,Alto dos Pinheiros,30530-080
Con2412,Sion,30315-540
Con2413,Colegio Batista,31110-370
Con2414,Prado,30110-063
Con2415,Calafate,30411-325
Con2416,Serra,30130-008
Con2417,Santa Efigenia,30150-224
Con2418,Ipiranga,31160-440
Con2419,Buritis,30575-090
Con2420,Floresta,31110-050
Con2421,Buritis,30575-120
Con2422,Santa Lucia,30360-536
Con2423,Cruzeiro,30310-110
Con2424,Barreiro,30640-050
Con2425,Caicaras,30770-580
Con2426,Buritis,30492-025
Con2427,Copacabana,31540-680
Con2428,Serra,30220-200
Con2429,Santa Efigenia,30150-270
Con2430,BONFIM,31230-060
Con2431,Centro,30190-902
Con2432,Carlos Prates,30710-020
Con2433,Heliopolis,31741-500
Con2434,Buritis,30492-020
Con2435,Piraja,31910-650
Con2436,Santa Terezinha,31360-110
Con2437,Caicara-Adelaide,30770-390
Con2438,Santa Efigenia,30240-350
Con2439,Uniao,31170-670
Con2440,Paqueta,31330-572
Con2441,Rio Branco,31535-000
Con2442,Prado,30411-040
Con2443,Nova Suissa,30421-310
Con2444,Santo Antonio,30350-220
Con2445,Bandeirantes Pampulha,31340-690
Con2446,Gutierrez,30441-011
Con2447,Padre Eustaquio,30720-414
Con2448,Planalto,31730-560
Con2449,Santa Efigenia,30270-330
Con2450,Santa Efigenia,30150-334
Con2451,Funcionarios,30130-131
Con2452,Centro,30190-005
Con2453,Pousada Santo Antonio,31970-190
Con2454,Sao Geraldo,31050-560
Con2455,Jardim dos Comerciarios Venda Nova,31640-005
Con2456,Padre Eustaquio,30720-350
Con2457,Centro,30160-901
Con2458,Sao Bento,30350-410
Con2459,Diamante Barreiro,30660-298
Con2460,Calafate,30411-330
Con2461,Gameleira,30510-120
Con2462,Serra,30210-490
Con2463,Centro,30190-918
Con2464,Santa Cruz,31150-360
Con2465,Buritis,30575-120
Con2466,SAVASSI,30110-036
Con2467,Centro,30190-908
Con2468,Sagrada Familia,31035-540
Con2469,Buritis,30575-190
Con2470,Buritis,30493-180
Con2471,Belvedere,30320-590
Con2472,Buritis,30492-040
Con2473,Anchieta,30310-550
Con2474,Manacas,30840-563
Con2475,Belvedere,30320-650
Con2476,Cidade Nova,31170-070
Con2477,Camargos,30520-540
Con2478,Centro,30170-111
Con2479,Bandeirantes Pampulha,31365-310
Con2480,Buritis,30492-025
Con2481,Belvedere,30320-670
Con2482,Camargos,30520-540
Con2483,Vera Cruz,30285-270
Con2484,Lourdes,30180-105
Con2485,Barro Preto,30140-083
Con2486,Floresta,30110-012
Con2487,Padre Eustaquio,30720-450
Con2488,Caicaras,30770-500
Con2489,Gloria,30870-110
Con2490,Cidade Nova,31170-230
Con2491,Gutierrez,30441-134
Con2492,Floresta,31015-178
Con2493,Palmeiras,30575-730
Con2494,Sion,30310-300
Con2495,Funcionarios,30150-338
Con2496,Ouro Preto,31310-450
Con2497,Savassi,30140-170
Con2498,Sion,30315-520
Con2499,Santa Tereza,31010-040
Con2500,Heliopolis,31741-510
Con2501,Gutierrez,30441-045
Con2502,Buritis,30492-020
Con2503,Caicaras,30775-240
Con2504,Jardim Montanhes,30750-552
Con2505,Havai,30575-010
Con2506,Sao Luiz,31270-750
Con2507,Jardim dos Comerciarios,31650-095
Con2508,Concordia,31110-750
Con2509,Jaqueline,31748-270
Con2510,Santa Tereza,31010-280
Con2511,Santa Amelia,31560-160
Con2512,Prado,30411-135
Con2513,Buritis,30575-070
Con2514,Liberdade,31270-170
Con2515,Dona Clara,31260-290
Con2516,Liberdade,31270-310
Con2517,Caicaras,31230-030
Con2518,Centro,30190-912
Con2519,Padre Eustaquio,30730-430
Con2520,Santo Antonio,30350-210
Con2521,Santo Agostinho,30170-020
Con2522,Mantiqueira,31652-320
Con2523,Barro Preto,30180-091
Con2524,Lourdes,30170-011
Con2525,Serra,30220-000
Con2526,Liberdade,31270-200
Con2527,Nova Vista,31070-010
Con2528,Savassi,30130-145
Con2529,Nazare,31990-360
Con2530,Sion,30315-500
Con2531,Sion,30315-500
Con2532,Serra,30220-300
Con2533,Dona Clara,31260-390
Con2534,Cardoso Barreiro,30626-390
Con2535,Alto Barroca,30431-001
Con2536,Savassi,30140-136
Con2537,Funcionarios,30140-110
Con2538,Cruzeiro,30310-090
Con2539,Sion,30315-520
Con2540,Miramar Barreiro,30644-100
Con2541,Santo Antonio,30350-220
Con2542,Prado,30411-186
Con2543,Santa Efigenia,30150-240
Con2544,Nova Gameleira,30510-730
Con2545,Copacabana,31540-540
Con2546,Prado,30411-225
Con2547,Calafate,30411-570
Con2548,Santo Agostinho,30190-088
Con2549,Buritis,30492-025
Con2550,Buritis,30492-015
Con2551,Maria Helena,31680-330
Con2552,Tupi B,31844-440
Con2553,Gutierrez,30441-042
Con2554,Centro,30180-100
Con2555,Tirol Barreiro,30662-160
Con2556,Gloria,30870-020
Con2557,Coracao de Jesus,30380-380
Con2558,Buritis,30575-160
Con2559,Buritis,30575-140
Con2560,Nova Floresta,31140-360
Con2561,Buritis,30575-255
Con2562,Bandeirantes Pampulha,31340-730
Con2563,Santa Efigenia,30260-180
Con2564,Madre Gertrudes,30512-760
Con2565,Barro Preto,30170-044
Con2566,Europa,31620-250
Con2567,Savassi,30112-010
Con2568,Barro Preto,30190-110
Con2569,Lourdes,30180-150
Con2570,Santa Lucia,30360-680
Con2571,Santa Rosa,31255-710
Con2572,Cruzeiro,30310-120
Con2573,Colegio Batista,31110-110
Con2574,Gutierrez,30441-042
Con2575,Buritis,30493-145
Con2576,Gutierrez,30441-082
Con2577,Centro,30120-050
Con2578,Floresta,31015-240
Con2579,Manacas,30840-700
Con2580,Santo Antonio,30350-180
Con2581,Estoril,30494-060
Con2582,Diamante Barreiro,30627-205
Con2583,Buritis,30575-090
Con2584,Ipiranga,31160-100
Con2585,Sao Luiz,31270-820
Con2586,Lagoinha Leblon Venda Nova,31575-460
Con2587,Cruzeiro,30310-260
Con2588,Serrano,30882-770
Con2589,Castelo,31330-000
Con2590,Cardoso Barreiro,30626-480
Con2591,Aarao Reis,31814-600
Con2592,Santa Efigenia,30150-334
Con2593,Maria Teresa,31873-168
Con2594,Distrito Industrial do Jatoba Barre,30670-845
Con2595,Miramar Barreiro,30644-015
Con2596,Diamante Barreiro,30660-140
Con2597,Olhos D'Agua,30390-082
Con2598,Santa Sofia,30451-364
Con2599,Buritis,30575-120
Con2600,Castelo,30840-320
Con2601,Santa Efigenia,30150-320
Con2602,Uniao,31170-710
Con2603,Serra,30220-000
Con2604,Buritis,30575-140
Con2605,Floramar,31742-058
Con2606,Castelo,30840-530
Con2607,Betania,30590-330
Con2608,Ouro Preto,31340-000
Con2609,Savassi,30112-024
Con2610,Santo Antonio,30350-260
Con2611,Sagrada Familia,31030-525
Con2612,Jardim Atlantico,31560-000
Con2613,Buritis,30575-080
Con2614,Camargos,30520-500
Con2615,Joao Pinheiro,30530-160
Con2616,Centro,30180-106
Con2617,Milionarios Barreiro,30620-550
Con2618,Sion,30320-050
Con2619,Santo Agostinho,30190-111
Con2620,Sao Gabriel,31980-530
Con2621,Minaslandia,31812-080
Con2622,Anchieta,30310-430
Con2623,Esplanada,30280-030
Con2624,Boa Viagem,30140-096
Con2625,Cidade Nova,31170-190
Con2626,Sagrada Familia,31030-220
Con2627,Belvedere,30320-690
Con2628,Buritis,30575-120
Con2629,Barro Preto,30190-003
Con2630,Buritis,30575-843
Con2631,Castelo,30840-460
Con2632,Planalto,31720-370
Con2633,Buritis,30575-120
Con2634,Savassi,30140-130
Con2635,Nova Granada,30431-355
Con2636,Lourdes,30180-140
Con2637,Luxemburgo,30380-520
Con2638,Gutierrez,30441-070
Con2639,Mantiqueira,31655-290
Con2640,Lourdes,30170-122
Con2641,Belvedere,30320-690
Con2642,Santo Agostinho,30180-098
Con2643,Tirol Barreiro,30662-090
Con2644,Castelo,31330-180
Con2645,CDI Jatoba Barreiro,30664-006
Con2646,Nova Floresta,31140-270
Con2647,Dom Bosco,30830-020
Con2648,Buritis,30575-834
Con2649,California,30855-450
Con2650,Primeiro de Maio,31810-390
Con2651,Itapoa,31710-350
Con2652,Belvedere,30320-640
Con2653,Jardim America,30421-379
Con2654,BOA VIAGEM,30130-170
Con2655,Cachoeirinha,31130-250
Con2656,Lagoinha,31210-010
Con2657,Padre Eustaquio,30720-400
Con2658,Sao Luiz,31275-080
Con2659,Santo Antonio,30350-090
Con2660,Centro,30180-902
Con2661,Tirol Barreiro,30662-130
Con2662,Planalto,31720-300
Con2663,Luxemburgo,30380-400
Con2664,Sion,30315-500
Con2665,Minas Brasil,30730-230
Con2666,Paqueta,31340-280
Con2667,Madri,31744-830
Con2668,Sao Joao Batista Venda Nova,31520-230
Con2669,Gutierrez,30441-018
Con2670,Caicaras,31230-010
Con2671,Savassi,30140-128
Con2672,Carmo,30310-020
Con2673,Palmares,31155-710
Con2674,Goiania,31950-350
Con2675,Cidade Nova,31170-030
Con2676,Buritis,30575-857
Con2677,Graca,31140-122
Con2678,Vera Cruz,30285-160
Con2679,Castelo,31330-020
Con2680,Santo Antonio,30330-220
Con2681,Santo Agostinho,30170-020
Con2682,Grajau,30431-214
Con2683,Cidade Nova,31170-220
Con2684,Centro,30160-916
Con2685,Serra,30220-060
Con2686,Santo Agostinho,30170-041
Con2687,Nova Suissa,30421-223
Con2688,Industrias I Barreiro,30610-310
Con2689,Sion,30320-060
Con2690,Caicaras,30770-080
Con2691,Santa Monica,31530-400
Con2692,Santa Ines,31080-330
Con2693,Carmo,30310-010
Con2694,Luxemburgo,30380-550
Con2695,Alto Barroca,30431-038
Con2696,Estrela do Oriente,30580-353
Con2697,Cruzeiro,30310-320
Con2698,Jardim America,30421-386
Con2699,Uniao,31170-710
Con2700,Diamante Barreiro,30660-030
Con2701,Graca,31140-030
Con2702,Manacas,30840-690
Con2703,Camargos,30520-280
Con2704,Copacabana,31540-530
Con2705,Santa Efigenia,30130-100
Con2706,Buritis,30575-275
Con2707,Alipio de Melo,30830-570
Con2708,Santa Terezinha,31365-100
Con2709,Centro,30190-922
Con2710,Centro,30130-921
Con2711,Nova Vista,31070-130
Con2712,Vale do Jatoba Barreiro,30664-792
Con2713,Sao Gabriel,31980-210
Con2714,Floresta,31015-294
Con2715,Padre Eustaquio,30720-270
Con2716,Santo Antonio,30350-040
Con2717,Esplanada,30280-240
Con2718,Liberdade,31270-310
Con2719,Gutierrez,30441-086
Con2720,Palmares,31160-540
Con2721,Cidade Nova,31170-210
Con2722,Santa Lucia,30360-330
Con2723,Carmo,30310-710
Con2724,Luxemburgo,30380-400
Con2725,Nova Granada,30431-310
Con2726,Centro,30170-124
Con2727,Centro,30190-006
Con2728,Cruzeiro,30310-260
Con2729,Alto Barroca,30431-020
Con2730,Milionarios Barreiro,30620-010
Con2731,Nova Vista,31070-010
Con2732,Sagrada Familia,31035-460
Con2733,Santo Agostinho,30170-041
Con2734,Alto dos Pinheiros,30530-590
Con2735,Sao Pedro,30330-150
Con2736,Belvedere,30320-670
Con2737,Silveira,31140-470
Con2738,Rio Branco,31530-650
Con2739,Buritis,30575-100
Con2740,Buritis,30492-025
Con2741,Santa Lucia,30360-210
Con2742,Sao Jose,31275-000
Con2743,Alto Barroca,30431-012
Con2744,Funcionarios,30140-070
Con2745,Ipiranga,31160-140
Con2746,Cachoeirinha,31150-100
Con2747,Itapoa,31710-400
Con2748,Centro,30170-120
Con2749,Castelo,31330-330
Con2750,Leticia,31570-390
Con2751,Jardim America,30421-428
Con2752,Santo Agostinho,30170-048
Con2753,Santo Antonio,30350-260
Con2754,Santa Lucia,30360-690
Con2755,Vila Cloris,31744-007
Con2756,Caicara-Adelaide,30750-180
Con2757,Planalto,31720-500
Con2758,Paraiso,30270-210
Con2759,Mantiqueira,31655-700
Con2760,Renascenca,31130-600
Con2761,Padre Eustaquio,30720-410
Con2762,Belvedere,30320-680
Con2763,Venda Nova,31610-015
Con2764,Centro,30160-040
Con2765,Anchieta,30310-410
Con2766,Bandeirantes Pampulha,31340-640
Con2767,Senhor dos Passos,31210-300
Con2768,Nova Suissa,30421-163
Con2769,Santa Cruz,31155-020
Con2770,Vitoria,31970-752
Con2771,Cinquentenario,30570-000
Con2772,Ouro Preto,31320-110
Con2773,Serrano,30882-650
Con2774,Centro,30160-043
Con2775,Santa Monica,31565-312
Con2776,Dom Bosco,30850-000
Con2777,Alto Caicaras,30750-270
Con2778,Cachoeirinha,31130-260
Con2779,Sao Gabriel,31980-660
Con2780,Sion,30315-500
Con2781,Castelo,30840-430
Con2782,Funcionarios,30150-288
Con2783,Vera Cruz,30285-170
Con2784,Santa Rosa,31255-502
Con2785,Nova Vista,31070-022
Con2786,Centro,30190-922
Con2787,Bandeirantes Pampulha,31365-440
Con2788,Sao Pedro,30330-050
Con2789,Buritis,30492-020
Con2790,Estoril,30494-150
Con2791,Santo Antonio,30350-120
Con2792,Santa Ines,31080-400
Con2793,Olaria Barreiro,30660-530
Con2794,Vista Alegre,30514-290
Con2795,Buritis,30493-135
Con2796,Nova Suissa,30421-082
Con2797,Lourdes,30160-019
Con2798,Funcionarios,30140-110
Con2799,Buritis,30575-140
Con2800,Buritis,30575-740
Con2801,Paraiso,30260-520
Con2802,Buritis,30575-857
Con2803,Savassi,30140-108
Con2804,Sao Joao Batista Venda Nova,31520-230
Con2805,Sao Francisco,31255-190
Con2806,Anchieta,30310-530
Con2807,Lourdes,30180-150
Con2808,Liberdade,31270-270
Con2809,Funcionarios,30140-060
Con2810,Padre Eustaquio,30720-420
Con2811,Serrano,30882-370
Con2812,Alto Barroca,30431-028
Con2813,Nova Suissa,30421-194
Con2814,Comiteco,30315-350
Con2815,Serra,30220-130
Con2816,Serra,30220-130
Con2817,Sao Tomaz,31741-030
Con2818,Carlos Prates,30710-580
Con2819,Santo Antonio,30350-290
Con2820,Centro,30190-903
Con2821,Estoril,30494-360
Con2822,Floresta,31015-160
Con2823,Venda Nova,31510-070
Con2824,Alto Caicaras,30750-600
Con2825,Concordia,31130-310
Con2826,Lindeia Barreiro,30690-720
Con2827,Urca,31360-360
Con2828,Goiania,31960-080
Con2829,Santa Tereza,31010-220
Con2830,Savassi,30112-024
Con2831,Nova Vista,31070-130
Con2832,Heliopolis,31741-540
Con2833,Gutierrez,30441-123
Con2834,Sao Luiz,31310-040
Con2835,Funcionarios,30112-020
Con2836,Barreiro,30640-050
Con2837,Santa Lucia,30350-590
Con2838,Casa Branca,31050-050
Con2839,Santa Ines,31080-290
Con2840,Nova Cachoeirinha,31250-430
Con2841,Belvedere,30320-760
Con2842,Santo Antonio,30350-260
Con2843,Santa Ines,31080-255
Con2844,Conjunto Celso Machado,30882-040
Con2845,Tupi B,31844-080
Con2846,Sao Joao Batista Venda Nova,31520-240
Con2847,Padre Eustaquio,30720-200
Con2848,Santo Agostinho,30170-041
Con2849,MINAS BRASIL,30535-610
Con2850,Guarani,31840-024
Con2851,Lourdes,30180-124
Con2852,Padre Eustaquio,30720-272
Con2853,Serra,30220-000
Con2854,Sagrada Familia,31030-410
Con2855,Centro,30180-106
Con2856,Nova Suissa,30421-201
Con2857,Santa Margarida Barreiro,30640-180
Con2858,Floramar,31840-240
Con2859,Sao Jose,31275-030
Con2860,Castelo,31330-060
Con2861,Serra,30240-060
Con2862,Inconfidencia,30820-530
Con2863,Camargos,30520-160
Con2864,Salgado Filho,30550-510
Con2865,Santa Monica,31525-270
Con2866,Centro,30190-001
Con2867,Caicaras,30770-040
Con2868,Santo Agostinho,30170-041
Con2869,Buritis,30575-150
Con2870,Milionarios Barreiro,30620-330
Con2871,Belvedere,30320-200
Con2872,Venda Nova,31510-050
Con2873,Paqueta,31330-472
Con2874,Ipe,31930-029
Con2875,Buritis,30575-100
Con2876,Carmo,30310-760
Con2877,Santa Efigenia,30110-915
Con2878,Lourdes,30140-072
Con2879,Santo Agostinho,30140-076
Con2880,Graca,31140-190
Con2881,Estoril,30494-080
Con2882,Uniao,31160-900
Con2883,Grajau,30431-245
Con2884,Sao Pedro,30330-130
Con2885,Madre Gertrudes,30512-710
Con2886,Graca,31140-120
Con2887,Padre Eustaquio,30730-530
Con2888,Sagrada Familia,31035-380
Con2889,Gloria,30870-240
Con2890,Serra Verde Venda Nova,31630-070
Con2891,Sion,30315-500
Con2892,Santa Efigenia,30260-580
Con2893,Barreiro,30640-500
Con2894,Providencia,31814-164
Con2895,Cidade Nova,31170-160
Con2896,Ouro Preto,31330-680
Con2897,Sion,30320-000
Con2898,Jardim Sao Jose,30820-110
Con2899,Sagrada Familia,31035-450
Con2900,Barro Preto,30190-914
Con2901,Santa Tereza,31015-070
Con2902,Alto Caicaras,30750-410
Con2903,Caicaras,30775-520
Con2904,Teixeira Dias Barreiro,30642-270
Con2905,Sagrada Familia,31035-470
Con2906,Havai,30570-670
Con2907,Ceu Azul,31580-510
Con2908,Santa Cruz,31155-160
Con2909,Minas Brasil,30730-240
Con2910,Monsenhor Messias,30720-474
Con2911,Ipiranga,31160-243
Con2912,Gutierrez,30441-063
Con2913,Vila Cloris,31744-125
Con2914,Bernadete Barreiro,30622-056
Con2915,Santa Efigenia,30260-150
Con2916,Colegio Batista,31110-400
Con2917,Fernao Dias,31910-540
Con2918,Sao Bento,30360-010
Con2919,Fernao Dias,31910-444
Con2920,Savassi,30130-174
Con2921,Goiania,31950-060
Con2922,Goiania,31960-070
Con2923,Universitario,31255-485
Con2924,Santa Tereza,31015-115
Con2925,Buritis,30575-815
Con2926,Santa Lucia,30360-112
Con2927,Sagrada Familia,31035-510
Con2928,Cidade Nova,31170-260
Con2929,Juliana,31744-590
Con2930,Leticia,31570-390
Con2931,Itapoa,31710-400
Con2932,Buritis,30575-310
Con2933,Jaragua,31270-470
Con2934,Sao Jose,31275-000
Con2935,Guarani,31840-120
Con2936,Serra,30210-523
Con2937,Centro,30120-058
Con2938,Prado,30411-052
Con2939,Sao Geraldo,31050-500
Con2940,Jaragua,31270-350
Con2941,Belvedere,30320-680
Con2942,Luxemburgo,30380-400
Con2943,Funcionarios,30140-110
Con2944,Santa Ines,31080-400
Con2945,Concordia,31110-700
Con2946,Lourdes,30170-122
Con2947,Gutierrez,30441-110
Con2948,Renascenca,31130-370
Con2949,Goiania,31950-020
Con2950,Paraiso,30270-160
Con2951,Serrano,30882-550
Con2952,Sao Gabriel,31980-440
Con2953,Cidade Nova,31170-080
Con2954,Centro,30170-121
Con2955,Uniao,31170-490
Con2956,Centro,30130-001
Con2957,Colegio Batista,31110-110
Con2958,Sao Luiz,31270-760
Con2959,Coracao Eucaristico,30535-610
Con2960,Savassi,30140-118
Con2961,Santa Efigenia,30150-230
Con2962,Camargos,30520-150
Con2963,Santa Ines,31080-150
Con2964,Sao Joao Batista Venda Nova,31515-393
Con2965,Buritis,30575-815
Con2966,Carlos Prates,30710-454
Con2967,Jardim America,30421-452
Con2968,Buritis,30575-140
Con2969,Vista do Sol,31990-490
Con2970,Dom Bosco,30850-330
Con2971,Planalto,31730-620
Con2972,Granja de Freitas,30285-240
Con2973,Alto Barroca,30431-020
Con2974,Araguaia,30620-740
Con2975,Floresta,31015-280
Con2976,Serra,30220-300
Con2977,Funcionarios,30130-913
Con2978,Sao Lucas,30240-540
Con2979,Santo Agostinho,30190-111
Con2980,Barreiro,30640-080
Con2981,Lourdes,30180-150
Con2982,Cruzeiro,30310-080
Con2983,Lourdes,30140-074
Con2984,Heliopolis,31741-460
Con2985,Santa Amelia,31555-190
Con2986,Padre Eustaquio,30720-420
Con2987,Tupi A,31840-050
Con2988,Sion,30315-450
Con2989,Castelo,31330-050
Con2990,Santa Lucia,30320-055
Con2991,Serra do Curral,30628-418
Con2992,Cardoso Barreiro,30626-670
Con2993,Boa Viagem,30130-170
Con2994,Barro Preto,30140-062
Con2995,Savassi,30150-318
Con2996,Savassi,30140-091
Con2997,Serra,30240-030
Con2998,Santa Maria,30525-160
Con2999,Diamante Barreiro,30644-158
Con3000,Serra,30210-570
Con3001,BOA VISTA,31060-480
Con3002,Lindeia Barreiro,30690-000
Con3003,Padre Eustaquio,30720-290
Con3004,Sao Bento,30360-030
Con3005,Sagrada Familia,31035-560
Con3006,Nova Suissa,30421-163
Con3007,Belvedere,30320-900
Con3008,Carmo,30310-040
Con3009,Buritis,30575-839
Con3010,Boa Viagem,30130-183
Con3011,Santa Amelia,31555-000
Con3012,Luxemburgo,30380-403
Con3013,Lourdes,30160-042
Con3014,Buritis,30575-140
Con3015,Gutierrez,30441-114
Con3016,Dona Clara,31260-210
Con3017,Barro Preto,30180-072
Con3018,Minascaixa,31610-360
Con3019,Ouro Preto,31340-050
Con3020,Boa Viagem,30130-170
Con3021,Castanheira Barreiro,30670-020
Con3022,Centro,30160-010
Con3023,Gloria,30870-100
Con3024,Cidade Nova,31170-050
Con3025,Santo Agostinho,30170-116
Con3026,Floramar,31742-107
Con3027,Buritis,30575-855
Con3028,Belvedere,30320-670
Con3029,Buritis,30493-030
Con3030,Estoril,30494-250
Con3031,Santa Amelia,31555-290
Con3032,Rio Branco,31535-260
Con3033,Europa,31620-400
Con3034,Santo Andre,31210-580
Con3035,Barro Preto,30140-062
Con3036,Cidade Nova,31170-240
Con3037,Copacabana,31550-400
Con3038,Santa Lucia,30360-114
Con3039,Cachoeirinha,31130-080
Con3040,Gutierrez,30441-114
Con3041,Santa Efigenia,30240-350
Con3042,Lourdes,30170-084
Con3043,Belvedere,30320-400
Con3044,Ribeiro de Abreu,31870-620
Con3045,Barro Preto,30170-114
Con3046,Buritis,30575-210
Con3047,Solar do Barreiro Barreiro,30628-140
Con3048,Cidade Nova,31170-070
Con3049,Santa Lucia,30360-260
Con3050,Nova Vista,31070-200
Con3051,Buritis,30575-180
Con3052,Buritis,30575-160
Con3053,Carmo,30310-730
Con3054,Gutierrez,30441-039
Con3055,Centro,30160-031
Con3056,Venda Nova,31660-000
Con3057,Caicaras,30775-520
Con3058,Carmo,30310-370
Con3059,Palmares,31155-430
Con3060,Carlos Prates,30710-020
Con3061,Santo Antonio,30350-220
Con3062,Havai,30555-130
Con3063,Sagrada Familia,31035-340
Con3064,Belvedere,30320-660
Con3065,Buritis,30575-265
Con3066,Savassi,30130-174
Con3067,Buritis,30575-817
Con3068,Santa Maria,30525-130
Con3069,Centro,30170-131
Con3070,Belvedere,30320-580
Con3071,Savassi,30140-131
Con3072,Coracao de Jesus,30380-230
Con3073,Sagrada Familia,31035-340
Con3074,Buritis,30575-080
Con3075,Castelo,31330-340
Con3076,Nova Suissa,30421-012
Con3077,Buritis,30575-270
Con3078,Nova Granada,30431-315
Con3079,Alipio de Melo,30830-610
Con3080,Savassi,30140-108
Con3081,Centro,30111-020
Con3082,Savassi,30150-370
Con3083,Diamante Barreiro,30627-205
Con3084,Savassi,30112-011
Con3085,Coracao de Jesus,30380-380
Con3086,Sao Jose,31275-050
Con3087,Sion,30320-060
Con3088,Santa Amelia,31555-050
Con3089,Centro,30170-907
Con3090,Santo Andre,31230-430
Con3091,Cruzeiro,30310-080
Con3092,Dom Cabral,30535-160
Con3093,Sao Lucas,30240-210
Con3094,Jardim Alvorada,30810-310
Con3095,Savassi,30130-138
Con3096,Bandeirantes Pampulha,31340-610
Con3097,Milionarios Barreiro,30620-050
Con3098,Belvedere,30320-650
Con3099,Coracao de Jesus,30380-252
Con3100,Padre Eustaquio,30730-420
Con3101,Serra,30240-240
Con3102,Santo Agostinho,30180-061
Con3103,Alto Barroca,30431-045
Con3104,Havai,30570-330
Con3105,Mantiqueira,31680-320
Con3106,Sao Pedro,30330-050
Con3107,Sao Bernardo,31741-388
Con3108,Santo Antonio,30350-220
Con3109,Cruzeiro,30310-110
Con3110,Buritis,30575-843
Con3111,Copacabana,31540-610
Con3112,Itapoa,31710-220
Con3113,Sagrada Familia,31030-360
Con3114,Tupi A,31842-190
Con3115,Santa Branca,31565-100
Con3116,PARAISO,30270-080
Con3117,Buritis,30575-834
Con3118,Parque Sao Pedro Venda Nova,31610-260
Con3119,Sao Joao Batista Venda Nova,31520-180
Con3120,Coracao Eucaristico,30535-630
Con3121,Santa Lucia,30360-450
Con3122,Centro,30120--05
Con3123,Esplanada,30280-240
Con3124,Caicara-Adelaide,30770-420
Con3125,Paqueta,30810-600
Con3126,Jardim Montanhes,30750-030
Con3127,Palmares,31160-530
Con3128,Jardim Leblon,31540-100
Con3129,CRUZEIRO,30110-035
Con3130,LINDEIA,30690-580
Con3131,Fernao Dias,31910-442
Con3132,Copacabana,31540-630
Con3133,Buritis,30575-140
Con3134,Taquaril,30295-200
Con3135,Sao Gabriel,31980-570
Con3136,Serra Verde Venda Nova,31630-160
Con3137,Funcionarios,30140-110
Con3138,Santa Efigenia,30150-242
Con3139,Sao Luiz,31270-760
Con3140,Cachoeirinha,31150-210
Con3141,Anchieta,30310-580
Con3142,Betania,30580-260
Con3143,Heliopolis,31741-545
Con3144,Cidade Nova,31170-193
Con3145,Caicaras,30770-190
Con3146,Jardim America,30421-351
Con3147,Paqueta,31330-572
Con3148,Prado,30411-137
Con3149,Santa Amelia,31560-240
Con3150,Minascaixa,31610-450
Con3151,Estoril,30455-610
Con3152,Santa Lucia,30350-640
Con3153,Vila Cloris,31744-145
Con3154,Jardim Montanhes,30750-010
Con3155,Sao Pedro,30330-050
Con3156,Nova Suissa,30421-031
Con3157,Ouro Preto,31310-550
Con3158,Santo Agostinho,30190-111
Con3159,Savassi,30130-138
Con3160,Padre Eustaquio,30720-320
