Concessionária ,Bairro,cep
Con1926,Padre Eustaquio,30730-482
Con1927,Luxemburgo,30380-400
Con1928,Camargos,30525-450
Con1929,Alto dos Pinheiros,30530-080
Con1930,Santa Monica,31530-250
Con1931,Jardinopolis,30532-280
Con1932,Funcionarios,30140-075
Con1933,Jardim Vitoria,31975-270
Con1934,SANTA EFIGENIA,30240-380
Con1935,Jardim America,30421-382
Con1936,Buritis,30575-140
Con1937,Centro,30170-124
Con1938,Palmeiras,30575-590
Con1939,Barro Preto,30190-110
Con1940,Piratininga Venda Nova,31573-360
Con1941,Floresta,30150-090
Con1942,Buritis,30575-060
Con1943,Santa Ines,31080-020
Con1944,California,30855-075
Con1945,Lindeia Barreiro,30692-260
Con1946,Lourdes,30140-061
Con1947,Centro,30190-912
Con1948,Vila Oeste,30532-140
Con1949,SAVASSI,30110-042
Con1950,Savassi,30130-168
Con1951,Jardim Leblon,31540-170
Con1952,Prado,30411-174
Con1953,Maria Virginia,31155-630
Con1954,Grajau,30431-189
Con1955,Funcionarios,30130-011
Con1956,Santo Antonio,30330-230
Con1957,Padre Eustaquio,30730-440
Con1958,Calafate,30411-293
Con1959,Centro,30170-907
Con1960,Cidade Jardim,30380-030
Con1961,Jardim Guanabara,31742-235
Con1962,Guarani,31840-160
Con1963,Lourdes,30160-046
Con1964,Castelo,31330-370
Con1965,Gutierrez,30441-082
Con1966,Pompeia,30280-400
Con1967,Boa Vista,31060-285
Con1968,Vila Pinho Vale do Jatoba Barreiro,30670-240
Con1969,Diamante Barreiro,30627-205
Con1970,Cenaculo,31615-450
Con1971,Vista Alegre,30514-550
Con1972,Buritis,30575-815
Con1973,Nova Gameleira,30510-180
Con1974,Carmo,30310-060
Con1975,Funcionarios,30110-022
Con1976,Buritis,30575-815
Con1977,Joao Pinheiro,30530-000
Con1978,Boa Viagem,30140-004
Con1979,Buritis,30575-847
Con1980,Buritis,30575-060
Con1981,Monsenhor Messias,30720-460
Con1982,Santa Rosa,31255-630
Con1983,Santa Efigenia,30130-103
Con1984,Mangabeiras,30210-390
Con1985,Mantiqueira,31680-365
Con1986,Jardim Montanhes,30750-002
Con1987,Santo Agostinho,30190-085
Con1988,Santa Efigenia,30110-017
Con1989,Alipio de Melo,30840-330
Con1990,Caicaras,30775-520
Con1991,Sao Bernardo,31741-427
Con1992,Milionarios Barreiro,30620-070
Con1993,Coqueiros,30880-450
Con1994,Sao Gabriel,31985-020
Con1995,Santa Monica,31525-310
Con1996,Miramar Barreiro,30642-565
Con1997,Barro Preto,30180-074
Con1998,Buritis,30575-070
Con1999,Santa Rosa,31255-730
Con2000,Santo Antonio,30350-093
Con2001,Liberdade,31270-240
Con2002,Sao Tomaz,31741-130
Con2003,Anchieta,30310-350
Con2004,Cidade Jardim,30380-030
Con2005,Canaa,31749-045
Con2006,Savassi,30140-124
Con2007,Tupi A,31840-050
Con2008,Sao Pedro,30330-010
Con2009,Caicaras,30770-490
Con2010,Betania,30590-530
Con2011,Floresta,31015-250
Con2012,Serra Verde Venda Nova,31630-000
Con2013,Padre Eustaquio,30720-130
Con2014,Funcionarios,30130-913
Con2015,Alto Caicaras,30750-355
Con2016,Nova Vista,31070-250
Con2017,Buritis,30575-120
Con2018,Jaqueline,31748-038
Con2019,Buritis,30575-190
Con2020,Jardim Vitoria,31970-270
Con2021,Santa Ines,31080-170
Con2022,Barreiro,30640-000
Con2023,Nova Suissa,30421-207
Con2024,Dona Clara,31260-000
Con2025,Aarao Reis,31814-550
Con2026,Sao Francisco,31255-070
Con2027,Ipiranga,31160-420
Con2028,Buritis,30493-145
Con2029,Sao Joao Batista Venda Nova,31520-070
Con2030,Carmo,30310-730
Con2031,Caicaras,30770-100
Con2032,Pampulha,31270-330
Con2033,Buritis,30575-360
Con2034,Coracao Eucaristico,30535-610
Con2035,Estoril,30455-610
Con2036,Barro Preto,30190-003
Con2037,Santa Rosa,31255-700
Con2038,Coracao de Jesus,30380-640
Con2039,Havai,30555-140
Con2040,Uniao,31170-630
Con2041,Mangabeiras,30210-280
Con2042,Gloria,30830-300
Con2043,Santo Andre,31230-600
Con2044,Santa Rosa,31255-800
Con2045,Buritis,30575-070
Con2046,Lourdes,30160-012
Con2047,Cidade Nova,31170-180
Con2048,Centro,30130-902
Con2049,Padre Eustaquio,30720-100
Con2050,Santo Antonio,30350-143
Con2051,Colegio Batista,31110-000
Con2052,Salgado Filho,30550-190
Con2053,Jaragua,31270-350
Con2054,Centro,30120-908
Con2055,Estoril,30494-310
Con2056,Belvedere,30320-670
Con2057,Santa Terezinha,31360-180
Con2058,Belvedere,30320-690
Con2059,Santa Efigenia,30130-130
Con2060,Lourdes,30160-019
Con2061,CIDADE NOVA,31160-370
Con2062,Lourdes,30180-160
Con2063,Guarani,31840-220
Con2064,Cidade Nova,31170-030
Con2065,Nova Suissa,30421-031
Con2066,Pindorama,30865-060
Con2067,Sao Pedro,30330-150
Con2068,Cruzeiro,30310-080
Con2069,California,30855-330
Con2070,Jardim Vitoria,31970-270
Con2071,Maria Helena,31680-170
Con2072,Planalto,31720-300
Con2073,Buritis,30575-815
Con2074,Santa Branca,31565-400
Con2075,Vista Alegre,30518-060
Con2076,Santa Ines,31080-180
Con2077,Alto dos Pinheiros,30530-550
Con2078,Alipio de Melo,30820-622
Con2079,Serra,30220-260
Con2080,Industrias I Barreiro,30610-010
Con2081,Ouro Preto,31330-500
Con2082,Sao Bento,30350-750
Con2083,Padre Eustaquio,30720-290
Con2084,Caicaras,30770-110
Con2085,Colegio Batista,31110-290
Con2086,Santa Helena Barreiro,30642-620
Con2087,California,30855-184
Con2088,Tirol Barreiro,30662-408
Con2089,GARCAS,31545-000
Con2090,Santo Antonio,30350-110
Con2091,Cardoso Barreiro,30626-480
Con2092,Candelaria,31535-630
Con2093,Carlos Prates,30710-182
Con2094,Dom Cabral,30535-100
Con2095,Centro,30120-908
Con2096,Sao Bento,30350-710
Con2097,Esplanada,30280-240
Con2098,Sao Joao Batista Venda Nova,31520-200
Con2099,Havai,30570-640
Con2100,Lourdes,30180-160
Con2101,Carlos Prates,30710-090
Con2102,Graca,31140-070
Con2103,Santana do Cafezal,30250-000
Con2104,Centro,30160-010
Con2105,Anchieta,30310-550
Con2106,Centro,30160-043
Con2107,Rio Branco,31535-135
Con2108,Santa Lucia,30350-590
Con2109,Santa Lucia,30350-640
Con2110,Prado,30411-216
Con2111,Tirol Barreiro,30662-072
Con2112,Vila Paris,30380-760
Con2113,Prado,30411-117
Con2114,Lourdes,30140-072
Con2115,Cachoeirinha,31150-220
Con2116,Santa Rosa,31255-780
Con2117,Tirol Barreiro,30662-440
Con2118,Planalto,31720-110
Con2119,Sagrada Familia,31030-220
Con2120,Centro,30180-001
Con2121,Barro Preto,30180-090
Con2122,Buritis,30575-110
Con2123,Lindeia Barreiro,30690-230
Con2124,Savassi,30140-105
Con2125,Bonfim,31210-442
Con2126,Camargos,30520-400
Con2127,Sao Bernardo,31741-435
Con2128,Nova Suissa,30421-082
Con2129,Santo Agostinho,30180-098
Con2130,Santo Antonio,30110-043
Con2131,Gutierrez,30441-021
Con2132,Caicara-Adelaide,30750-170
Con2133,Pampulha,31270-330
Con2134,Gutierrez,30441-023
Con2135,Santa Tereza,31010-060
Con2136,Castelo,31330-200
Con2137,Barro Preto,30190-110
Con2138,Colegio Batista,31110-290
Con2139,Pompeia,30285-010
Con2140,Sao Francisco,31255-180
